mach,cg_m,cn_alpha_body,cn_alpha_fins,cn_alpha_total,x_cp_m,static_margin_cal,regime_flag
2.50,1.5000,3.554975,23.189829,26.744804,3.983508,12.417538,VALID
2.50,1.5500,3.554975,23.189829,26.744804,3.983508,12.167538,VALID
2.50,1.6000,3.554975,23.189829,26.744804,3.983508,11.917538,VALID
2.50,1.6500,3.554975,23.189829,26.744804,3.983508,11.667538,VALID
2.50,1.7000,3.554975,23.189829,26.744804,3.983508,11.417538,VALID
2.50,1.7500,3.554975,23.189829,26.744804,3.983508,11.167538,VALID
2.50,1.8000,3.554975,23.189829,26.744804,3.983508,10.917538,VALID
2.50,1.8500,3.554975,23.189829,26.744804,3.983508,10.667538,VALID
2.50,1.9000,3.554975,23.189829,26.744804,3.983508,10.417538,VALID
2.50,1.9500,3.554975,23.189829,26.744804,3.983508,10.167538,VALID
2.50,2.0000,3.554975,23.189829,26.744804,3.983508,9.917538,VALID
2.50,2.0500,3.554975,23.189829,26.744804,3.983508,9.667538,VALID
2.50,2.1000,3.554975,23.189829,26.744804,3.983508,9.417538,VALID
2.50,2.1500,3.554975,23.189829,26.744804,3.983508,9.167538,VALID
2.50,2.2000,3.554975,23.189829,26.744804,3.983508,8.917538,VALID
3.00,1.4000,3.554975,19.055044,22.610019,3.902724,12.513619,VALID
3.00,1.4500,3.554975,19.055044,22.610019,3.902724,12.263619,VALID
3.00,1.5000,3.554975,19.055044,22.610019,3.902724,12.013619,VALID
3.00,1.5500,3.554975,19.055044,22.610019,3.902724,11.763619,VALID
3.00,1.6000,3.554975,19.055044,22.610019,3.902724,11.513619,VALID
3.00,1.6500,3.554975,19.055044,22.610019,3.902724,11.263619,VALID
3.00,1.7000,3.554975,19.055044,22.610019,3.902724,11.013619,VALID
3.00,1.7500,3.554975,19.055044,22.610019,3.902724,10.763619,VALID
3.00,1.8000,3.554975,19.055044,22.610019,3.902724,10.513619,VALID
3.00,1.8500,3.554975,19.055044,22.610019,3.902724,10.263619,VALID
3.00,1.9000,3.554975,19.055044,22.610019,3.902724,10.013619,VALID
3.00,1.9500,3.554975,19.055044,22.610019,3.902724,9.763619,VALID
3.00,2.0000,3.554975,19.055044,22.610019,3.902724,9.513619,VALID
3.00,2.0500,3.554975,19.055044,22.610019,3.902724,9.263619,VALID
3.00,2.1000,3.554975,19.055044,22.610019,3.902724,9.013619,VALID
3.00,2.1500,3.554975,19.055044,22.610019,3.902724,8.763619,VALID
3.00,2.2000,3.554975,19.055044,22.610019,3.902724,8.513619,VALID
